2024-05-02 23:04:25,350 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-05-02 23:04:25,397 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-05-02 23:04:25,397 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-05-02 23:04:25,397 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-05-02 23:04:25,397 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-05-02 23:04:25,406 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-05-02 23:04:25,406 INFO  SwAddin.cs: 201 - Setting up command manager
2024-05-02 23:04:25,406 INFO  SwAddin.cs: 204 - Adding command manager
2024-05-02 23:04:25,406 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-05-02 23:04:25,406 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-05-02 23:04:25,406 INFO  SwAddin.cs: 210 - Adding event handlers
2024-05-02 23:04:25,414 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-05-02 23:44:05,553 INFO  SwAddin.cs: 294 - Assembly export called for file Assem1
2024-05-02 23:44:05,561 INFO  SwAddin.cs: 299 - Save is required
2024-05-02 23:44:05,561 INFO  SwAddin.cs: 313 - Saving assembly
2024-05-02 23:44:05,561 INFO  SwAddin.cs: 316 - Opening property manager
2024-05-02 23:44:05,573 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Assem1
2024-05-02 23:44:05,573 INFO  ExportHelperExtension.cs: 1136 - Found 39 in Assem1
2024-05-02 23:44:05,581 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in Assem1
2024-05-02 23:44:05,581 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from base-1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1136 - Found 30 in base-1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in base-1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Link1-1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1136 - Found 29 in Link1-1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Link1-1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Link1-2
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1136 - Found 29 in Link1-2
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Link1-2
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Assem1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1136 - Found 39 in Assem1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1145 - Found 2 features of type [RefAxis] in Assem1
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2024-05-02 23:44:05,583 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from base-1
2024-05-02 23:44:05,591 INFO  ExportHelperExtension.cs: 1136 - Found 30 in base-1
2024-05-02 23:44:05,591 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in base-1
2024-05-02 23:44:05,591 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Link1-1
2024-05-02 23:44:05,591 INFO  ExportHelperExtension.cs: 1136 - Found 29 in Link1-1
2024-05-02 23:44:05,594 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Link1-1
2024-05-02 23:44:05,594 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Link1-2
2024-05-02 23:44:05,594 INFO  ExportHelperExtension.cs: 1136 - Found 29 in Link1-2
2024-05-02 23:44:05,594 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Link1-2
2024-05-02 23:44:05,822 INFO  SwAddin.cs: 339 - Loading config tree
